CODE;NOM;INS;SUP;POP;MED;COM;DIS;LON;LAT;REG
TS111;Tunis;1;356;983861;4493;983861;1;340;722;NE
TS112;Ariana;2;356;422246;325;383458;10;340;733;NE
TS113;Ben Arous;3;790;505773;361;456580;10;348;717;NE
TS114;Mannouba;4;1204;335912;224;248476;6;328;725;NE
TS115;Nabeul;5;2821;693890;456;457484;70;390;708;NE
TS116;Zaghouan;6;2775;160963;107;60414;51;333;677;NE
TS117;Bizerte;7;3565;524128;418;319396;60;310;761;NE
TS121;Béja;8;3500;304501;146;123134;105;267;715;NO
TS122;Jendouba;9;3086;416608;179;113699;150;220;703;NO
TS123;Le Kef;10;4792;258790;120;128671;165;219;647;NO
TS124;Siliana;11;4500;233985;90;84292;125;271;647;NO
TS211;Sousse;12;2669;544413;760;432171;140;374;629;CE
TS212;Monastir;13;1024;455590;273;455592;162;398;609;CE
TS213;Mahdia;14;2952;377853;324;167705;202;395;578;CE
TS214;Sfax;15;7569;855256;900;544880;270;386;517;CE
TS221;Kairouan;16;6581;546209;207;173608;160;320;602;CO
TS222;Kasserine;17;8246;412278;138;164173;286;241;580;CO
TS223;Sidi Bouzid;18;7063;395506;145;96293;260;288;535;CO
TS311;Gabès;19;7290;342630;207;231881;365;334;420;SE
TS312;Medenine;20;8480;432503;278;333316;482;401;386;SE
TS313;Tataouine;21;35881;143524;87;87724;500;375;323;SE
TS321;Gafsa;22;8749;323709;141;236890;355;222;480;SO
TS322;Tozeur;23;4644;97526;70;68562;450;167;432;SO
TS323;Kebili;24;20460;143218;75;77203;600;242;388;SO
