id;nom;idr;dist
TS1248;Kesra;0,124;104052,580850489
TS124A;El Aroussa;0,162;79662,4132390445
TS1246;Makthar;0,223;122290,329248842
TS1247;Er-Rouhia;0,115;124855,315513845
TS1240;Siliana Nord;0,325;107042,464116704
TS1241;Siliana Sud;0,256;98681,7368733996
TS2115;Akouda;0,551;2186,38900665806
TS211A;Bouficha;0,33;6224,45068112452
TS2119;Enfidha;0,348;13587,6917941072
TS1120;Ariana Ville;0,638;5848,94809511609
TS1125;Cite Ettadhamen;0,386;9448,22769561607
TS1123;Kalaat El Andalous;0,383;5576,8498710089
TS1126;El Mnihla;0,466;10475,3567066698
TS1122;Raoued;0,531;5986,26638475704
TS1124;Sidi Thabet;0,358;17636,4687840826
TS1121;Soukra;0,557;5767,10783527792
TS1212;Amdoun;0,205;26473,6507002002
TS1210;Beja Nord;0,339;37452,5500256039
TS1211;Beja Sud;0,299;47095,9765995234
TS1217;Goubellat;0,249;53584,5559164279
TS1218;Medjez El Bab;0,354;51372,5123022913
TS1213;Nefza;0,173;13281,358583736
TS1214;Teboursouk;0,291;66443,5250831532
TS1216;Testour;0,245;66383,7924244023
TS1215;Tibar;0,241;56185,049006633
TS1130;Ben Arous;0,489;3049,27998351409
TS1135;Bou Mhel El Bassatine;0,51;3369,3474124827
TS1132;El Mourouj;0,557;4607,69549366382
TS1136;Ezzahra;0,523;2695,81743936837
TS113A;Fouchana;0,475;8025,95229341251
TS1134;Hammam Choott;0,456;2710,92648490451
TS1133;Hammam Lif;0,439;1400,52283163377
TS1138;Megrine;0,54;1455,0049097372
TS1139;Mohamedia;0,37;17419,6524940981
TS113B;Mornag;0,416;16066,7571883763
TS1131;La Nouvelle Medina;0,468;3394,34699834894
TS1137;Rades;0,504;867,903610691152
TS1170;Bizerte Nord;0,485;2728,31479641946
TS1172;Bizerte Sud;0,368;8206,31602776901
TS117C;El Alia;0,396;5767,75202654074
TS117A;Ghar El Meleh;0,358;4425,42416357892
TS1176;Ghezala;0,166;19055,5407071462
TS1174;Djoumine;0,14;36152,089625877
TS1175;Mateur;0,346;22786,8012767581
TS1177;Menzel Bourguiba;0,406;2476,29277431765
TS117B;Menzel Djemil;0,446;1845,19240470021
TS117D;Ras Djebel;0,429;1312,60627595563
TS1173;Sedjnane;0,154;7935,58900258189
TS1178;Tinja;0,323;6003,70652780957
TS1179;Utique;0,325;12922,8264484334
TS3110;Gabes Medina;0,381;1515,31015955196
TS3111;Gabes Ouest;0,345;12791,5843949205
TS3112;Gabes Sud;0,404;8113,15992886122
TS3113;Ghanouch;0,312;1592,15864200365
TS3116;El Hamma;0,222;45565,750315062
TS3119;Mareth;0,239;17459,2226696543
TS3117;Matmata;0,171;54554,301621869
TS3118;Nouvelle Matmata;0,151;31769,1957084427
TS3115;Menzel El Habib;0,172;34917,6677554784
